,selling_price,km_driven,max_power(bhp),fuel,owner
344,170000,90000,68.0,1,2
345,1090000,16500,110.0,2,1
346,1100000,67000,126.2,1,1
347,610000,52000,81.8,2,1
348,335000,40000,67.0,2,1
349,434999,40000,82.0,2,1
350,3000000,35000,174.5,1,1
351,390000,13000,53.26,2,1
352,325000,40000,86.8,2,1
353,640000,10000,73.75,2,1
354,450000,9000,97.7,2,1
355,400000,70000,67.06,1,2
356,215000,60000,78.9,2,1
357,570000,40000,83.8,1,1
358,680000,93000,140.0,1,1
359,325000,80000,102.0,1,4
360,150000,50000,64.08,2,2
361,690000,68000,147.5,2,1
362,1550000,25000,170.0,1,1
363,64000,18000,37.5,2,1
364,250000,120000,63.1,1,1
365,65000,35000,67.1,2,1
366,550000,60000,74.0,1,2
367,140000,70000,78.9,2,4
368,300000,30000,53.3,2,1
369,800000,70000,189.3,2,1
373,503000,110000,147.94,1,1
374,3800000,20000,190.0,1,1
375,2000000,68089,157.7,2,1
376,225000,58343,67.05,2,1
377,740000,38817,74.0,1,1
378,550000,56494,88.7,2,1
379,750000,79328,100.6,1,2
380,650000,5621,81.8,2,1
381,625000,25538,88.73,2,1
382,600000,69779,81.8,2,1
383,450000,56290,73.97,1,1
384,5400000,7500,190.0,1,1
385,5500000,8500,190.0,1,1
386,779000,7032,88.76,2,1
388,2475000,2000,150.0,1,1
389,150000,106000,78.9,2,3
391,500000,120000,158.8,2,2
392,480000,90000,74.0,1,1
393,535000,70000,126.32,1,3
394,250000,240000,102.0,1,3
395,300000,100000,88.8,1,2
396,340000,214000,103.2,2,2
397,340000,214000,110.0,1,2
398,240000,50000,47.3,2,1
399,1085000,1000,117.6,2,1
400,750000,19000,74.02,1,1
401,95000,265000,70.0,1,2
402,409999,35000,61.7,3,1
403,215000,80000,67.05,2,2
404,1290000,50000,140.0,1,1
405,150000,80000,67.1,2,1
406,219000,50000,55.2,2,2
407,325000,100000,84.0,2,1
408,260000,120000,73.0,2,2
428,700000,40000,78.9,1,1
429,950000,45000,88.7,1,1
430,160000,80000,46.3,2,2
431,409999,135000,71.01,1,2
432,840000,120000,100.6,1,2
433,450000,67000,67.1,1,1
434,900000,50000,74.02,1,1
435,570000,134000,102.0,1,2
436,254999,110000,63.1,1,2
437,130000,40000,37.0,2,1
438,530000,120000,74.0,1,2
439,520000,110000,88.8,1,2
440,229999,170000,64.1,1,2
441,81000,80000,37.0,2,2
442,600000,47000,74.0,1,1
443,409999,93000,81.86,2,1
444,120000,70000,37.0,2,2
445,320000,50000,67.04,2,1
446,292000,70000,68.05,1,1
447,390000,80000,138.03,1,1
448,550000,44000,86.8,2,1
449,385000,25000,67.04,2,1
450,800000,25000,121.3,2,1
451,675000,10000,81.8,2,1
452,1525000,50000,153.86,1,1
453,950000,30000,98.96,1,1
454,610000,50000,88.73,1,2
455,525000,120000,88.73,1,1
457,375000,80000,62.1,1,1
458,580000,90000,83.8,1,1
459,434999,50000,83.11,2,2
460,350000,2136,67.0,2,1
461,730000,250000,100.0,1,1
462,600000,35000,81.83,2,1
463,1050000,120000,100.6,1,1
464,735000,70000,74.0,1,1
465,1050000,18000,108.45,1,1
466,420000,110000,73.74,1,2
467,800000,60000,88.5,1,1
468,2000000,60000,168.5,1,1
469,600000,147000,74.0,1,2
470,1900000,130000,168.5,1,1
471,500000,99500,147.9,1,3
472,200000,110000,71.0,1,2
473,370000,35000,67.04,2,1
474,260000,110000,110.0,1,2
475,280000,100000,77.0,1,1
476,610000,21000,93.7,2,1
477,300000,60000,90.0,1,2
478,140000,40000,70.0,1,1
479,229999,50000,68.05,2,1
480,200000,65000,66.1,2,2
481,200000,80000,67.1,2,1
482,560000,119000,126.2,1,1
483,750000,80000,88.5,1,1
484,585000,90000,74.0,1,1
485,760000,20000,121.4,2,1
486,430000,80000,74.0,1,2
487,480000,44665,77.0,1,1
488,643000,10000,113.4,1,1
489,500000,60000,81.86,2,1
490,425000,22000,86.8,2,1
491,250000,25000,47.3,2,1
492,285000,70000,47.0,1,1
493,160000,123000,85.8,2,3
494,250000,70000,103.6,1,2
495,170000,70000,79.4,2,2
496,409999,45000,67.06,1,1
497,400000,40000,82.0,2,1
498,700000,30000,74.02,1,1
499,350000,90000,130.0,2,1
500,660000,34000,91.1,2,2
501,268000,25000,47.3,2,1
502,270000,50000,47.3,2,1
503,300000,50000,57.6,1,1
504,450000,90000,84.0,2,1
505,220000,70000,57.6,1,2
506,250000,146000,138.0,1,2
507,300000,85000,70.0,2,2
508,88000,201850,52.8,1,2
509,561000,30000,74.0,1,1
510,755000,15000,74.02,1,1
511,235000,25000,53.64,2,1
512,165000,90000,67.1,2,1
513,190000,80000,73.9,1,2
514,110000,50000,53.5,1,1
515,320000,80000,63.0,1,2
517,540000,38000,81.83,2,1
518,180000,60000,55.2,2,1
520,450000,30000,85.8,2,1
521,450000,30000,85.8,2,1
522,200000,50000,76.8,2,1
523,425000,42000,84.0,2,1
524,400000,30000,82.4,2,1
525,125000,60000,46.3,2,3
526,1600000,14000,170.0,1,1
527,900000,22000,117.3,2,1
528,450000,90000,103.6,1,1
529,210000,46000,67.1,2,1
530,801000,20000,81.83,2,1
531,317000,15000,70.0,1,1
532,600000,40000,93.7,2,2
533,330000,30000,82.85,2,2
534,320000,15000,55.2,2,2
536,120000,110000,83.0,2,2
537,130000,70000,46.3,2,2
538,220000,80000,82.4,2,1
540,340000,110000,88.7,2,1
541,200000,70000,67.0,1,2
542,140000,50000,46.3,2,2
543,1000000,190000,100.6,1,1
544,495000,100000,63.0,1,2
545,236000,60000,47.3,2,1
546,390000,40000,67.04,2,1
547,275000,90000,73.9,1,2
549,775000,32000,88.5,1,1
550,1800000,30000,171.5,1,1
551,850000,58000,126.2,1,1
552,750000,5000,88.5,1,1
553,570000,25000,81.83,2,1
554,580000,32000,81.86,2,1
555,484999,30000,88.7,2,1
556,700000,43000,117.3,2,1
557,415000,60000,113.42,2,1
558,325000,50000,76.0,2,1
559,550000,14200,86.8,2,1
560,300000,10000,55.2,2,1
561,217000,25000,53.64,2,1
562,700000,19100,94.68,2,1
563,466000,25000,68.0,2,4
564,484999,54000,98.96,1,1
565,670000,35000,84.8,1,1
566,500000,20000,81.86,2,2
567,675000,52000,88.5,1,1
568,220000,120000,90.0,1,2
569,1650000,50000,170.0,1,1
570,630000,120000,88.8,1,2
571,250000,90000,90.0,1,2
572,120000,120000,67.1,2,3
573,300000,101500,103.52,1,2
574,525000,75000,126.3,1,1
577,1100000,100000,120.0,1,1
578,480000,55735,108.45,1,2
579,605000,80000,140.0,1,2
580,250000,50000,47.3,2,2
581,245000,70000,68.1,1,2
582,210000,76000,78.9,2,4
583,730000,1500,81.8,2,1
584,500000,76000,62.1,1,1
585,400000,40000,67.04,2,1
586,280000,60000,55.2,2,2
587,561000,170000,102.0,1,3
588,950000,181491,175.56,1,1
589,375000,53319,56.3,1,1
590,700000,40906,108.62,1,1
591,375000,31711,88.7,2,2
592,270000,43755,55.2,2,2
593,300000,66693,53.3,2,1
594,225000,59549,67.1,2,1
595,1350000,94385,100.6,1,1
596,200000,73730,67.1,2,1
597,400000,221889,126.32,1,1
598,500000,116104,98.6,1,1
599,500000,150546,81.8,2,1
600,1500000,148120,174.5,1,1
601,555000,20000,110.0,2,2
602,580000,30000,81.86,2,1
603,337000,142000,138.1,1,3
604,175000,20000,68.0,1,1
605,180000,120000,90.0,1,2
606,200000,80000,68.05,2,1
607,260000,60000,69.01,1,1
608,350000,25000,67.0,2,1
609,409999,50000,63.0,1,2
610,655000,126000,100.0,1,1
611,370000,170000,74.0,1,1
612,200000,24000,47.3,2,1
613,800000,100000,88.5,1,2
614,550000,10000,83.81,2,1
615,300000,70000,68.0,1,2
616,220000,40000,34.2,2,1
617,196000,110000,67.1,2,1
618,135000,80000,68.05,2,2
619,299000,16500,88.7,2,1
620,300000,30000,67.05,2,1
621,720000,80000,88.5,1,1
622,650000,50000,147.94,1,3
623,300000,25000,67.05,2,1
624,750000,20000,73.97,1,1
625,260000,60000,53.3,2,1
626,300000,70000,74.0,1,2
627,600000,50000,62.1,1,2
628,275000,100000,218.0,2,2
629,250000,52000,67.05,2,1
630,420000,80000,74.0,1,1
631,235000,50000,55.2,2,1
632,1100000,60000,120.0,1,1
633,360000,25000,67.05,2,1
634,380000,50000,70.0,1,2
635,650000,125000,98.59,1,1
636,350000,80000,67.04,2,1
637,700000,70000,63.0,1,1
638,270000,90000,90.0,1,3
639,450000,50000,74.0,1,1
640,630000,101000,105.0,1,1
641,229999,168000,112.0,1,1
643,270000,40000,67.1,2,1
644,135000,28900,65.0,2,2
645,275000,20000,67.1,2,1
665,634000,165000,100.0,1,1
666,235000,98500,66.1,2,2
667,275000,98000,78.9,2,3
668,700000,40000,105.0,1,2
669,400000,90000,92.0,1,1
670,215000,90000,46.3,2,3
671,150000,110000,110.0,1,2
672,950000,77800,88.5,1,1
673,730000,100000,100.0,1,1
674,135000,120000,71.0,1,2
675,350000,80000,82.0,2,2
676,535000,21000,82.0,2,2
677,455000,100000,85.8,2,2
678,655000,25000,81.8,2,1
679,800000,30000,98.96,1,3
680,1100000,25000,105.5,2,1
681,3000000,40000,204.0,1,1
682,1225000,160000,169.0,1,1
683,340000,51492,82.0,2,1
684,300000,72000,103.6,1,2
685,370000,60000,86.8,2,1
686,330000,136000,62.1,1,2
687,238000,60000,62.1,2,1
689,200000,90000,62.1,2,1
690,320000,91000,84.8,1,4
691,114999,90000,62.1,2,4
692,320000,50000,67.04,2,2
693,210000,20000,68.05,2,1
694,200000,120000,95.0,1,1
695,135000,150000,67.0,2,2
696,350000,52000,69.01,1,1
697,350000,167000,63.0,1,2
698,680000,40000,74.02,1,1
699,200000,190000,75.0,1,2
700,300000,50000,67.0,2,1
701,270000,70000,112.0,1,2
702,225000,80000,67.1,2,2
703,250000,120000,63.0,1,1
704,590000,40000,100.0,1,2
705,290000,17000,55.2,2,1
706,100000,180000,67.1,2,2
707,395000,50000,67.04,2,1
708,195000,65000,55.2,2,2
709,45000,10000,35.0,2,3
710,270000,70000,63.0,1,2
711,600000,90000,72.4,1,2
712,715000,50000,88.73,1,1
713,600000,10000,81.86,2,1
714,875000,25000,100.0,1,1
715,420000,100000,115.0,1,2
716,325000,70000,152.0,2,2
717,385000,30000,67.06,2,1
718,300000,40000,82.0,2,1
719,335000,135000,88.76,1,1
720,300000,35000,67.04,2,1
721,80000,120000,94.0,2,2
722,400000,120000,62.1,1,1
723,168000,190000,69.0,1,2
724,550000,120000,62.1,1,1
726,320000,175000,63.0,1,3
727,320000,175000,63.0,1,3
728,350000,25000,97.7,2,2
729,280000,80000,88.76,1,1
730,550000,70000,71.0,1,2
731,500000,10000,81.86,2,1
732,700000,6000,94.68,2,1
733,380000,90000,103.5,1,2
734,340000,110000,63.0,1,2
735,160000,120000,63.0,1,3
736,750000,50000,100.6,1,1
737,531000,20000,81.86,2,1
738,300000,35000,67.0,2,1
739,350000,60000,88.8,1,2
740,150000,68000,79.4,2,4
741,450000,30000,81.8,2,1
742,1625000,54000,140.0,1,1
745,85000,120000,68.0,1,3
746,450000,30000,81.86,2,1
748,360000,50000,69.0,1,1
749,390000,6000,67.05,2,1
750,145000,50000,73.0,2,2
751,540000,90000,120.0,1,3
752,290000,126000,102.0,1,3
753,300000,90000,69.0,1,1
754,565000,80000,86.8,2,1
755,441000,70000,120.0,1,2
757,180000,80000,55.2,2,2
758,200000,80000,55.2,2,2
759,85000,150000,46.3,2,2
760,67500,110000,52.8,1,4
761,700000,110000,88.5,1,2
762,275000,80000,73.9,1,4
763,600000,20000,81.86,2,1
764,250000,120000,95.0,1,1
765,600000,120000,63.0,1,1
766,200000,80000,91.2,1,2
767,425000,91500,70.0,1,2
768,420000,120000,73.9,1,2
769,321000,100000,90.0,1,2
770,350000,120000,112.0,1,4
771,490000,80000,86.7,2,1
772,680000,90000,75.0,1,1
773,298000,70000,67.05,2,1
775,450000,150000,115.0,1,4
777,250000,40000,74.0,1,1
778,1075000,110000,156.0,1,3
779,500000,20000,82.0,2,1
780,681000,10000,94.68,2,1
781,650000,90000,140.0,1,2
782,80000,70000,74.9,2,2
783,290000,120000,63.0,1,1
784,220000,120000,120.0,1,2
785,120000,90000,62.0,2,2
786,229999,80000,53.0,2,1
787,150000,132478,63.0,1,2
788,500000,45000,85.8,2,1
789,175000,120000,69.0,1,1
790,720000,10000,94.68,2,1
791,100000,51000,37.0,2,1
792,250000,105000,130.0,2,2
793,810000,100000,140.0,1,1
794,165000,30000,46.3,2,3
795,409999,60000,105.3,1,2
796,430000,86000,74.0,1,2
797,300000,15000,67.0,2,1
798,350000,137500,73.9,1,3
799,400000,60000,67.0,2,1
800,420000,70000,73.74,1,1
801,430000,5000,67.04,2,1
802,573000,30000,81.8,2,1
803,210000,40000,55.2,2,1
804,600000,60000,108.45,1,1
805,150000,70000,78.0,2,3
806,550000,15000,84.0,2,1
807,320000,110000,73.9,1,2
808,80000,70000,37.0,2,4
809,800000,10000,98.63,1,1
810,500000,60000,93.7,2,1
811,229999,110000,90.0,1,2
813,630000,35000,81.83,2,1
814,190000,70000,34.2,2,2
816,450000,100000,63.0,1,2
817,95000,120000,46.3,2,1
818,101000,90000,35.0,2,4
819,500000,70000,98.6,1,2
820,1019999,88000,100.6,1,2
821,244000,38000,55.2,2,1
822,250000,90000,67.04,2,2
823,660000,60000,83.1,2,1
824,270000,60000,80.0,2,1
825,280000,156060,73.94,1,1
826,1050000,60000,126.2,1,1
827,525000,70000,83.14,2,1
828,850000,35000,126.2,1,1
829,1165000,50000,140.0,1,1
830,345000,50000,85.8,2,2
831,95000,100000,63.0,2,2
832,241000,15000,47.3,2,1
833,235000,20000,47.3,2,1
834,615000,80000,98.59,1,1
835,350000,110000,64.1,1,2
836,350000,35000,67.04,2,1
837,380000,35000,67.04,2,1
838,400000,140000,69.01,1,1
839,220000,40000,67.1,2,1
840,270000,110000,120.0,1,3
841,275000,70000,85.8,2,2
842,125000,100000,71.0,1,2
843,360000,20000,68.05,2,1
844,550000,15000,81.86,2,1
845,200000,70000,68.0,2,2
846,327000,20000,82.0,2,1
847,425000,15000,68.05,2,1
848,620000,107000,74.02,1,1
849,130000,54000,75.0,1,2
850,120000,58000,46.3,2,1
851,400000,110000,120.0,1,2
852,185000,90000,110.0,1,4
853,204999,43000,68.05,2,2
854,625000,43000,74.02,1,1
855,600000,60000,88.8,1,1
856,150000,150000,85.0,2,1
858,229999,46000,84.8,2,1
859,220000,10000,34.2,2,1
860,576000,35000,81.83,2,1
861,265000,50000,53.3,2,1
863,300000,80000,126.32,1,1
864,420000,110000,69.0,1,1
865,750000,14000,88.76,1,1
866,165000,60000,47.3,3,2
867,290000,28000,53.3,2,1
868,160000,57000,55.2,2,1
869,695000,50000,74.0,1,1
870,231000,70000,58.2,4,1
871,1050000,60000,87.2,1,1
872,400000,70000,82.85,2,1
873,500000,40000,81.83,2,1
874,150000,120000,88.8,1,2
875,400000,140000,118.3,1,2
876,120000,100000,70.0,1,2
877,480000,120000,118.3,1,2
878,200000,120000,69.01,1,2
879,300000,64000,67.0,1,2
880,350000,25000,67.04,2,1
881,580000,12000,72.0,2,1
882,200000,70000,57.6,1,2
883,750000,120000,120.0,1,1
884,261000,90000,53.3,2,1
885,371000,40000,82.4,2,1
886,320000,300000,63.0,1,3
887,204999,120000,69.0,1,2
888,110000,90000,94.0,2,2
889,150000,100000,68.0,1,4
890,625000,90000,62.1,1,2
891,1300000,50000,120.0,1,2
892,900000,168000,141.0,1,1
893,180000,110000,68.0,1,2
894,421000,120000,63.0,1,2
896,900000,40000,98.6,1,1
897,165000,110000,78.0,2,2
898,270000,100000,90.0,1,4
899,750000,40000,88.5,1,1
900,750000,30000,81.86,2,1
901,40000,80000,37.0,2,3
902,190000,90000,68.0,1,2
903,395000,200000,102.0,1,3
904,800000,125000,171.0,1,2
905,315000,80000,80.0,2,1
906,1600000,44000,147.51,1,2
907,409999,90000,67.04,1,1
909,340000,70000,82.85,2,1
910,270000,43000,55.2,2,1
911,280000,80000,74.0,1,1
912,130000,60000,74.0,1,1
913,260000,18945,55.2,2,1
914,710000,70000,73.97,1,1
915,204999,100000,73.0,2,3
916,300000,60000,67.0,2,1
917,180000,144000,73.9,1,2
918,700000,120000,100.0,1,1
919,320000,107825,90.0,1,2
920,370000,15000,47.3,2,1
921,340000,10000,53.3,2,1
922,1040000,1620,103.2,2,1
923,750000,30000,88.76,1,1
924,600000,70000,120.0,1,1
925,550000,70000,63.0,1,1
926,600000,95000,100.57,1,2
927,550000,50000,69.0,1,1
928,750000,160000,98.6,1,1
929,450000,10000,68.0,2,1
930,400000,100000,88.76,1,3
931,520000,50000,74.0,1,2
932,199000,60000,67.1,2,2
933,150000,110000,57.6,1,1
934,540000,80000,88.73,1,3
935,250000,85000,88.8,1,2
936,200000,90000,67.0,2,2
937,130000,90000,69.0,1,2
938,90000,90000,37.0,2,1
939,450000,120000,126.32,1,2
940,280000,120000,110.0,1,1
941,280000,160000,138.1,1,2
942,120000,141000,60.0,2,2
943,290000,100000,75.0,1,2
944,1000000,15000,88.7,1,1
945,415000,108000,73.9,1,1
946,415000,108000,74.0,1,1
