title,type,director,cast,country,date_added,release_year,rating,duration,categories
Half & Half,TV Show,,"Rachel True, Essence Atkins, Telma Hopkins, Chico Benymon, Valarie Pettiford, Alec Mapa",United States,2020-10-15,2005,TV-14,4 Seasons,TV Comedies
Kartini: Princess of Java,Movie,Hanung Bramantyo,"Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo, Christine Hakim, Djenar Maesa Ayu, Denny Sumargo, Adinia Wirasti, Reza Rahadian","Indonesia, Netherlands",2020-10-15,2017,TV-PG,118 min,"Dramas, International Movies"
Love Like the Falling Rain,Movie,Lasja Fauzia Susatyo,"Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",Indonesia,2020-10-15,2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies"
One on One,TV Show,,"Flex Alexander, Kyla Pratt, Kelly Perine, Sicily Johnson, Robert Ri'chard",United States,2020-10-15,2006,TV-14,5 Seasons,"TV Comedies, Teen TV Shows"
Power Rangers Beast Morphers,TV Show,,"Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,2020-10-15,2020,TV-Y7,2 Seasons,Kids' TV
Rooting for Roona,Movie,"Pavitra Chalam, Akshay Shankar",,India,2020-10-15,2020,TV-PG,42 min,"Documentaries, International Movies"
Social Distance,TV Show,,"Danielle Brooks, Oscar Nuñez, Mike Colter, Heather Burns, Okieriete Onaodowan, Ajay Naidu, Shakira Barrera, Steven Weber, Helena Howard, Daphne Rubin-Vega, Guillermo Díaz, Miguel Sandoval, Camila Perez, Gianna Aragon, Tom Costanzo, Luca Costanzo, Olli Haaskivi, Marsha Stephanie Blake, Isabella Ferreira, Rocco Luna, Larita Brooks, Misha Brooks, Liam Foley, Zoë Verbil, Anthony Norman, Brian Jordan Alvarez, Max Jenkins, Peter Vack, Rana Roy, Peter Scanavino, Ali Ahn, Tami Sagher, Barbara Rosenblat, Michael Mulheren, Leo Bai-Scanavino, Becky Ann Baker, Dylan Baker, Marcia DeBonis, Raymond Anthony Thomas, Sunita Mani, Kylie Liya Page, David Iacono, Lachlan Riley Watson, Niles Fitch, Will Meyers, Ava DeMary, Lydia Look, Asante Blackk, Ayize Ma'at, Lovie Simone",United States,2020-10-15,2020,TV-MA,1 Season,"TV Comedies, TV Dramas"
A Choo,Movie,"Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",Taiwan,2020-10-14,2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies"
BLACKPINK: Light Up the Sky,Movie,Caroline Suh,Blackpink,United States,2020-10-14,2020,TV-14,80 min,"Documentaries, Music & Musicals"
The Three Deaths of Marisela Escobedo,Movie,Carlos Pérez Osorio,,Mexico,2020-10-14,2020,TV-MA,110 min,"Documentaries, International Movies"
Fida,Movie,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",India,2020-10-13,2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers"
Octonauts & the Great Barrier Reef,Movie,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",United Kingdom,2020-10-13,2020,TV-Y,47 min,Children & Family Movies
The Cabin with Bert Kreischer,TV Show,,"Bert Kreischer, Anthony Anderson, Caitlyn Jenner, Tom Segura, Joey Diaz, Nikki Glaser, Fortune Feimster, Bobby Lee, Donnell Rawlings, Kaley Cuoco, Joel McHale, Ms. Pat, Deon Cole, Big Jay Oakerson",United States,2020-10-13,2020,TV-MA,1 Season,"Reality TV, TV Comedies"
Dil,Movie,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,2020-10-12,1990,TV-14,165 min,"Comedies, Dramas, International Movies"
Disco Dancer,Movie,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,2020-10-12,1982,TV-14,134 min,"Cult Movies, Dramas, International Movies"
Hunterrr,Movie,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",India,2020-10-12,2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies"
Kipo and the Age of Wonderbeasts,TV Show,,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",United States,2020-10-12,2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies"
Phir Hera Pheri,Movie,Neeraj Vora,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Bipasha Basu, Rimi Sen, Johny Lever, Manoj Joshi, Rajpal Yadav, Sharat Saxena, Suresh Menon",India,2020-10-12,2006,TV-14,150 min,"Comedies, International Movies"
The Legend of Bhagat Singh,Movie,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari",India,2020-10-12,2002,TV-14,156 min,"Dramas, International Movies"
House of the Witch,Movie,Alex Merkin,"Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman",United States,2020-10-11,2017,TV-MA,86 min,Horror Movies
Deaf U,TV Show,,,United States,2020-10-09,2020,TV-MA,1 Season,Docuseries
Ginny Weds Sunny,Movie,Puneet Khanna,"Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta",India,2020-10-09,2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies"
My Step Dad: The Hippie,Movie,Meltem Bozoflu,"Onur Buldu, Mahir İpek, Derya Karadaş, Onur Attila, Meltem Yılmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin","Turkey, South Korea",2020-10-09,2018,TV-MA,100 min,"Comedies, International Movies"
Super Monsters: Dia de los Monsters,Movie,,,Canada,2020-10-09,2020,TV-Y,25 min,Children & Family Movies
The Forty-Year-Old Version,Movie,Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",United States,2020-10-09,2020,R,124 min,"Comedies, Dramas, Independent Movies"
The Haunting of Bly Manor,TV Show,,"Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Benjamin Evan Ainsworth",United States,2020-10-09,2020,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
Bigflo & Oli: Hip Hop Frenzy,Movie,"Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,France,2020-10-08,2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals"
Do Do Sol Sol La La Sol,TV Show,,"Go A-ra, Lee Jae-wook, Kim Ju-hun, Ye Ji-won, Lee Soon-jae, Shin Eun-soo, Seo Yi-sook",South Korea,2020-10-08,2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Palermo Hollywood,Movie,Eduardo Pinto,"Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía",Argentina,2020-10-08,2004,TV-MA,106 min,"Dramas, International Movies"
Private Lives,TV Show,,"Seohyun, Ko Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok, Song Sun-mi, Park Seong-geun, Jang Jin-hee, Yoon Sa-bong, Lee Hak-ju, Song Sang-eun, Jang Won-hyeok, Yoo Hee-je, Min Zio, Kim Min-sang, Kim Ba-da, Cha Soo-yeon",South Korea,2020-10-08,2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
The 100,TV Show,,"Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter","United States, Canada",2020-10-08,2020,TV-MA,7 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
Hubie Halloween,Movie,Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,2020-10-07,2020,PG-13,104 min,"Comedies, Horror Movies"
To the Lake,TV Show,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Russia,2020-10-07,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
American Pie 9: Girls' Rules,Movie,Mike Elliott,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory",United States,2020-10-06,2020,R,96 min,Comedies
Dolly Parton: Here I Am,Movie,Francis Whately,Dolly Parton,United Kingdom,2020-10-06,2019,TV-14,90 min,"Documentaries, Music & Musicals"
StarBeam: Halloween Hero,Movie,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",Canada,2020-10-06,2020,TV-Y,33 min,Children & Family Movies
Walk Away from Love,Movie,Christopher Nolen,"Noree Victoria, Brad James, Robert Christopher Riley, Brely Evans, Sabrina Revelle",United States,2020-10-06,2017,TV-14,81 min,"Dramas, Romantic Movies"
Bad Boy Billionaires: India,TV Show,,,India,2020-10-05,2020,TV-14,1 Season,"British TV Shows, Docuseries, International TV Shows"
David Attenborough: A Life on Our Planet,Movie,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",David Attenborough,"United States, United Kingdom",2020-10-04,2020,PG,84 min,Documentaries
"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",Movie,Amy Segal,"Daniel Levy, Eugene Levy, Catherine O'Hara, Annie Murphy, Chris Elliott, Emily Hampshire, Sarah Levy, Jennifer Robertson, Noah Reid, Dustin Milligan, Karen Robinson, Rizwan Manji",Canada,2020-10-03,2020,TV-MA,44 min,"Documentaries, LGBTQ Movies"
Good Game: The Beginning,Movie,Umut Aral,"Mert Yazıcıoğlu, Afra Saraçoğlu, Yiğit Kirazcı, Orkun Işıtmak, Bahar Şahin, Tolga Canbeyli, Bada Oh Deniz, Hakan Kurtaş, Doğaç Yildiz",Turkey,2020-10-03,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies"
A Chaster Marriage,Movie,Umut Kirca,"Emre Karayel, Ceren Moray, Begüm Kütük, Ececan Gümeci, Ümit Erdim, Cem Kiliç, Haldun Boysan, Ferdi Akarnur, Mine Teber, Güneş Hayat",Turkey,2020-10-02,2016,TV-14,94 min,"Comedies, International Movies, Romantic Movies"
DreamWorks Happy Holidays from Madagascar,TV Show,,"Tom McGrath, Chris Miller, Christopher Knights, John DiMaggio, Ben Stiller, Chris Rock, David Schwimmer, Jada Pinkett Smith, Cedric the Entertainer, Andy Richter, Carl Reiner",United States,2020-10-02,2005,TV-PG,1 Season,"Kids' TV, TV Comedies"
Emily in Paris,TV Show,,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Kate Walsh, Samuel Arnold, Bruno Gouery, Camille Razat",United States,2020-10-02,2020,TV-MA,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas"
H2O: Just Add Water,TV Show,,"Cariba Heine, Phoebe Tonkin, Angus McLaren, Burgess Abernethy, Claire Holt, Alan David Lee, Cleo Massey, Jamie Timony",Australia,2020-10-02,2009,TV-PG,3 Seasons,"Kids' TV, TV Dramas"
Òlòtūré,Movie,Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,2020-10-02,2020,TV-MA,107 min,"Dramas, International Movies"
Serious Men,Movie,Sudhir Mishra,"Nawazuddin Siddiqui, Nasser, Aakshath Das, Indira Tiwari, Sanjay Narvekar, Shweta Basu Prasad",India,2020-10-02,2020,TV-MA,115 min,"Comedies, Dramas, International Movies"
The Binding,Movie,Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro",Italy,2020-10-02,2020,TV-MA,93 min,"Horror Movies, International Movies, Thrillers"
Turkish Dance School,Movie,Burak Aksak,"Binnur Kaya, Demet Özdemir, Uraz Kaygılaroğlu, Okan Çabalar, Bora Cengiz, Nergis Öztürk, Berat Yenilmez, Meltem Gülenç, Hakan Salınmış",Turkey,2020-10-02,2017,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
Vampires vs. the Bronx,Movie,Oz Rodriguez,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",United States,2020-10-02,2020,PG-13,86 min,"Comedies, Horror Movies"
You've Got This,Movie,Salvador Espinosa,"Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander, Verónica Bravo, Fernando Becerril, Moisés Arizmendi, Tiaré Scanda, Mariana Cabrera, Montserrat Marañón, Verónica Langer",Mexico,2020-10-02,2020,TV-MA,112 min,"Comedies, International Movies, Romantic Movies"
All Because of You,Movie,Adrian Teh,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",Malaysia,2020-10-01,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies"
An Ordinary Man,Movie,Brad Silberling,"Ben Kingsley, Hera Hilmar, Peter Serafinowicz","Serbia, United States",2020-10-01,2017,R,91 min,"Dramas, Thrillers"
Carlos Almaraz: Playing with Fire,Movie,"Elsa Flores Almaraz, Richard J Montoya","Edward James Olmos, Zach De La Rocha",United States,2020-10-01,2019,TV-14,83 min,"Documentaries, LGBTQ Movies"
Cold Harbour,Movie,Carey McKenzie,"Tony Kgoroge, Yu Nan, Thomas Gumede, Deon Lotz, Fana Mokoena, Zolani Mahola, Kenneth Fok, Nicole Bessick",South Africa,2020-10-01,2013,TV-MA,73 min,"Action & Adventure, Dramas, International Movies"
Evil,TV Show,,"Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson, Christine Lahti, Kurt Fuller, Marti Matulis",United States,2020-10-01,2019,TV-14,1 Season,TV Dramas
Familiar Wife,TV Show,,"Ji Sung, Han Ji-min, Kang Han-na, Jang Seung-jo",South Korea,2020-10-01,2018,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas"
Food Wars!: Shokugeki no Soma,TV Show,,"Yoshitsugu Matsuoka, Risa Taneda, Minami Takahashi, Shizuka Ishigami, Natsuki Hanae, Yuki Ono, Takahiro Sakurai, Ai Kayano, Maaya Uchida, Taishi Murata, Yusuke Kobayashi, Saori Onishi, Hisako Kanemoto, Chinatsu Akasaki, Nobuhiko Okamoto, Junichi Suwabe, Yuichi Nakamura, Jun Fukuyama",Japan,2020-10-01,2016,TV-MA,2 Seasons,"Anime Series, International TV Shows, Teen TV Shows"
Free State of Jones,Movie,Gary Ross,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell, Christopher Berry, Sean Bridgers, Jacob Lofland, Thomas Francis Murphy, Bill Tangradi",United States,2020-10-01,2016,R,139 min,"Action & Adventure, Dramas"
"Good Morning, Verônica",TV Show,,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",Brazil,2020-10-01,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Mysteries"
Human Nature,Movie,Adam Bolt,,United States,2020-10-01,2019,TV-14,95 min,Documentaries
Hunt for the Wilderpeople,Movie,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",New Zealand,2020-10-01,2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas"
I'm Leaving Now,Movie,"Lindsey Cordero, Armando Croda",,"United States, Mexico",2020-10-01,2019,TV-MA,75 min,"Documentaries, International Movies"
Oktoberfest: Beer & Blood,TV Show,,"Mišel Matičević, Martina Gedeck, Klaus Steinbacher, Mercedes Müller, Maximilian Brückner, Brigitte Hobmeier, Markus Krojer, Martin Feifel, Michael Kranz, Vladimir Burlakov","Germany, Czech Republic",2020-10-01,2020,TV-MA,1 Season,"International TV Shows, TV Dramas"
Rize,Movie,David LaChapelle,"Tommy the Clown, Tight Eyez","United States, United Kingdom",2020-10-01,2005,PG-13,87 min,"Documentaries, Music & Musicals"
Secreto bien guardado,TV Show,,"Oriana Sabatini, Victorio D'Alessandro, Noemí Frenkel, Matías Mayer, Paula Sartor, Agustina Palma, Graciela Tenenbaum, Bárbara Lombardo",Argentina,2020-10-01,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Sword Art Online,TV Show,,"Yoshitsugu Matsuoka, Haruka Tomatsu, Ayana Taketatsu, Kanae Ito, Rina Hidaka, Ayahi Takagaki, Hiroaki Hirata, Hiroki Yasumoto, Saori Hayami, Koichi Yamadera",Japan,2020-10-01,2018,TV-MA,3 Seasons,"Anime Series, International TV Shows"
The Book of Sun,Movie,Faris Godus,"Baraa Alem, Ismail Alhassan, Ahmed Saddam, Sohayb Godus, Nawaf Alshubaili, Eyad Ayman Kaifi",Saudi Arabia,2020-10-01,2020,TV-14,120 min,"Comedies, Independent Movies, International Movies"
The Outpost,Movie,Rod Lurie,"Scott Eastwood, Caleb Landry Jones, Orlando Bloom, Jack Kesy, Cory Hardrict, Milo Gibson, Jacob Scipio, Taylor John Smith, Jonathan Yunger, Alexander Arnold","United States, Bulgaria",2020-10-01,2020,R,123 min,"Action & Adventure, Dramas"
The Parkers,TV Show,,"Mo'Nique, Countess Vaughn, Dorien Wilson, Jenna von Oÿ, Ken Lawson, Yvette Wilson",United States,2020-10-01,2003,TV-PG,5 Seasons,TV Comedies
The Unicorn,TV Show,,"Walton Goggins, Rob Corddry, Michaela Watkins, Omar Benson Miller, Maya Lynne Robinson, Ruby Jay, Makenzie Moss",United States,2020-10-01,2019,TV-14,1 Season,"TV Comedies, TV Dramas"
We Have Always Lived in the Castle,Movie,Stacie Passon,"Taissa Farmiga, Alexandra Daddario, Crispin Glover, Sebastian Stan, Paula Malcomson, Peter Coonan, Ian Toner, Joanne Crawford",United States,2020-10-01,2018,TV-14,95 min,"Dramas, Thrillers"
You Cannot Hide,TV Show,,"Blanca Soto, Eduardo Noriega, Iván Sánchez, Maribel Verdú, Samantha Siqueiros, Peter Vives, Patricia Guirado, Jorge Bosch, Pere Ponce, Juan Caballero, Jordi Planas",Mexico,2020-10-01,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
American Murder: The Family Next Door,Movie,Jenny Popplewell,,United States,2020-09-30,2020,TV-MA,84 min,Documentaries
Baxu and the Giants,Movie,Florian Schott,"Camilla Jo-Ann Daries, Wafeeq Narimab, Anna Louw, Steven Afrikaner, Ashwyn Mberi, Robert Hara Gaeb",Namibia,2020-09-30,2019,TV-PG,29 min,"Dramas, International Movies"
Black Butler,TV Show,,"Daisuke Ono, Maaya Sakamoto, Hiroki Touchi, Yuki Kaji, Emiri Kato, Koji Yusa, Shunji Fujimura, Yukari Tamura, Romi Park, Jun Fukuyama",Japan,2020-09-30,2010,TV-MA,3 Seasons,"Anime Series, International TV Shows"
Man with a Plan,TV Show,,"Matt LeBlanc, Liza Snyder, Grace Kaufman, Matthew McCann, Hala Finley, Matt Cook, Jessica Chaffin",United States,2020-09-30,2020,TV-PG,4 Seasons,TV Comedies
Poacher,Movie,Tom Whitworth,"Brian Ogola, Davina Leonard, Shiviske Shivisi, Lenny Juma, Olwenya Maina, Peter King, Alfred Munyua, Mwajuma Belle","United Kingdom, Kenya",2020-09-30,2018,TV-MA,28 min,"Dramas, International Movies, Thrillers"
The Boys in the Band,Movie,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",United States,2020-09-30,2020,R,122 min,"Dramas, LGBTQ Movies"
The Boys in the Band: Something Personal,Movie,,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins, Joe Mantello, Ned Martel, Mart Crowley",United States,2020-09-30,2020,TV-MA,28 min,"Documentaries, LGBTQ Movies"
Wentworth,TV Show,,"Danielle Cormack, Nicole da Silva, Kate Atkinson, Celia Ireland, Shareena Clanton, Aaron Jeffery, Robbie Magasiva, Katrina Milosevic, Jacqueline Brennan, Ra Chapman, Pamela Rabe, Sigrid Thornton, Socratis Otto, Bernard Curry, Tammy MacIntosh, Kate Jenkinson",Australia,2020-09-30,2020,TV-MA,8 Seasons,"Crime TV Shows, TV Dramas"
Bully,Movie,Lee Hirsch,,United States,2020-09-29,2012,PG-13,98 min,Documentaries
Michelle Buteau: Welcome to Buteaupia,Movie,Page Hurwitz,Michelle Buteau,United States,2020-09-29,2020,TV-MA,59 min,Stand-Up Comedy
Welcome to Sudden Death,Movie,Dallas Jackson,"Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira, Lyric Justice, Sagine Semajuste, Gary Owen, Anthony Grant, Kristen Harris, BJ Verot, Sean Skene, Marrese Crump, Stephanie Sy, Jeff Strome, Adam Hurtig, Gillian White, Anthony J. Mifsud",United States,2020-09-29,2020,R,80 min,Action & Adventure
Amandla! A Revolution in Four Part Harmony,Movie,Lee Hirsch,"Miriam Makeba, Hugh Masekela, Abdullah Ibrahim, Duma Ka Ndlovu, Sibongile Khumalo, Vusi Mahlasela, Thandi Modise, Sifiso Ntuli, Sibusiso Nxumalo, Dolly Rathebe, Lindiwe Zulu","South Africa, United States",2020-09-28,2002,PG-13,103 min,"Documentaries, International Movies, Music & Musicals"
Ankhon Dekhi,Movie,Rajat Kapoor,"Sanjay Mishra, Seema Pahwa, Rajat Kapoor, Taranjit Kaur, Maya Sarao, Chandrachoor Rai, Namit Das, Brijendra Kala, Alka Chawla, Manu Rishi Chadha",India,2020-09-28,2013,TV-PG,104 min,"Dramas, Independent Movies, International Movies"
Dedh Ishqiya,Movie,Abhishek Chaubey,"Naseeruddin Shah, Madhuri Dixit, Arshad Warsi, Huma Qureshi, Vijay Raaz, Manoj Pahwa, Salman Shahid",India,2020-09-28,2014,TV-14,146 min,"Comedies, Dramas, International Movies"
Golmaal Returns,Movie,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Arshad Warsi, Tusshar Kapoor, Shreyas Talpade, Celina Jaitly, Amrita Arora, Anjana Sukhani",India,2020-09-28,2008,TV-MA,135 min,"Comedies, International Movies, Music & Musicals"
Ishq Vishk,Movie,Ken Ghosh,"Shahid Kapoor, Amrita Rao, Shenaz Treasury, Vishal Malhotra, Kapil Jhaveri, Shabhir, Deepti Gujral, Yash Tonk, Satish Shah, Neelima Azim",India,2020-09-28,2003,TV-PG,129 min,"Comedies, International Movies, Music & Musicals"
Ishqiya,Movie,Abhishek Chaubey,"Naseeruddin Shah, Vidya Balan, Arshad Warsi, Salman Shahid, Anupama Kumar",India,2020-09-28,2009,TV-14,115 min,"Comedies, International Movies, Romantic Movies"
Jab We Met,Movie,Imtiaz Ali,"Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, Pavan Malhotra, Kamal Tiwari, Kiran Juneja, Divya Seth, Saumya Tandon",India,2020-09-28,2007,TV-14,143 min,"Comedies, International Movies, Music & Musicals"
Mann,Movie,Indra Kumar,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",India,2020-09-28,1999,TV-14,173 min,"Dramas, International Movies, Romantic Movies"
Manorama Six Feet Under,Movie,Navdeep Singh,"Abhay Deol, Gul Panag, Raima Sen, Sarika, Kulbhushan Kharbanda, Vinay Pathak, Yana Gupta, Jogi, Brijendra Kala, Nawazuddin Siddiqui",India,2020-09-28,2007,TV-14,129 min,"Dramas, International Movies, Thrillers"
Welcome,Movie,Anees Bazmee,"Akshay Kumar, Katrina Kaif, Nana Patekar, Anil Kapoor, Paresh Rawal, Mallika Sherawat, Feroz Khan, Ruslaan Mumtaz, Sunil Shetty, Malaika Arora, Asrani",India,2020-09-28,2007,TV-PG,149 min,"Comedies, International Movies, Music & Musicals"
"Whose Vote Counts, Explained",TV Show,,,United States,2020-09-28,2020,TV-PG,1 Season,Docuseries
Van Helsing,TV Show,,"Kelly Overton, Jonathan Scarfe, Christopher Heyerdahl, Paul Johansson, David Cubitt, Tim Guinee",United States,2020-09-27,2019,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas"
The Good Place,TV Show,,"Kristen Bell, Ted Danson, William Jackson Harper, Jameela Jamil, D'Arcy Carden, Manny Jacinto",United States,2020-09-26,2020,TV-14,4 Seasons,TV Comedies
Time Out,Movie,Rikhil Bahadur,"Chirag Malhotra, Pranay Pachauri, Kaamya Sharma, Riya Kothari, Aditya Jain, Shiva Dawar, Sanya Arora, Tarana Marwah, Raunaq Chopra, Vedabrata Rao",India,2020-09-26,2015,TV-14,98 min,"Dramas, Independent Movies, International Movies"
A Perfect Crime,TV Show,,,Germany,2020-09-25,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
Sneakerheads,TV Show,,"Allen Maldonado, Andrew Bachelor, Jearnest Corchado, Matthew Josten, Yaani King Mondschein, Justin Lee, Aja Evans",United States,2020-09-25,2020,TV-MA,1 Season,TV Comedies
The School Nurse Files,TV Show,,"Jung Yu-mi, Nam Joo-hyuk",South Korea,2020-09-25,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries"
Real Steel,Movie,Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Anthony Mackie, Kevin Durand, Hope Davis, James Rebhorn, Karl Yune, Olga Fonda, John Gatins","United States, India",2020-09-24,2011,PG-13,127 min,"Action & Adventure, Sci-Fi & Fantasy, Sports Movies"
The Chef Show,TV Show,,"Jon Favreau, Roy Choi",United States,2020-09-24,2020,TV-MA,4 Seasons,Docuseries
